,monthly_listeners,listener_pct_change,monthly_spins,spins_pct_change,followers_insta,av_post_likes_insta,av_post_comments_insta,av_post_views_insta,followers_tiktok,av_post_likes_tiktok,av_post_comments_tiktok,av_post_views_tiktok,followers_youtube,av_post_likes_youtube,av_post_comments_youtube,av_post_views_youtube,Artist_ID,retweet,likes,Sentiment_Neutral,TweetSentiment_Positive,TweetSentiment_Negative,New_Music,TV_Show
2017-11-01,,,,,,,,,,,,,,,,,,568.0,1755.0,0.0,6.0,1.0,0.0,0.0
2017-11-02,,,,,,,,,,,,,,,,,,509.0,1999.0,0.0,9.0,4.0,0.0,0.0
2017-11-03,,,,,,,,,,,,,,,,,,2516.0,7114.0,0.0,17.0,8.0,0.0,0.0
2017-11-04,,,,,,,,,,,,,,,,,,541.0,1035.0,0.0,7.0,5.0,0.0,0.0
2017-11-05,,,,,,,,,,,,,,,,,,10906.0,40706.0,0.0,48.0,3.0,0.0,0.0
2017-11-06,,,,,,,,,,,,,,,,,,3082.0,12056.0,0.0,33.0,9.0,0.0,0.0
2017-11-07,,,,,,,,,,,,,,,,,,2264.0,7854.0,0.0,19.0,8.0,0.0,0.0
2017-11-08,,,,,,,,,,,,,,,,,,2355.0,7315.0,0.0,23.0,15.0,0.0,0.0
2017-11-09,,,,,,,,,,,,,,,,,,1990.0,4335.0,0.0,18.0,6.0,0.0,0.0
2017-11-10,,,,,,,,,,,,,,,,,,8267.0,37924.0,0.0,27.0,24.0,0.0,0.0
2017-11-11,,,,,,,,,,,,,,,,,,817.0,4423.0,0.0,7.0,7.0,0.0,0.0
2017-11-12,,,,,,,,,,,,,,,,,,1101.0,3770.0,0.0,17.0,5.0,0.0,0.0
2017-11-13,,,,,,,,,,,,,,,,,,3437.0,12974.0,0.0,24.0,10.0,0.0,0.0
2017-11-14,,,,,,,,,,,,,,,,,,2581.0,7626.0,0.0,16.0,14.0,0.0,0.0
2017-11-15,,,,,,,,,,,,,,,,,,4055.0,19180.0,0.0,17.0,10.0,0.0,0.0
2017-11-16,,,,,,,,,,,,,,,,,,15420.0,43342.0,0.0,33.0,2.0,0.0,0.0
2017-11-17,,,,,,,,,,,,,,,,,,49033.0,120568.0,0.0,25.0,12.0,0.0,0.0
2017-11-18,,,,,,,,,,,,,,,,,,2454.0,8400.0,0.0,13.0,9.0,0.0,0.0
2017-11-19,,,,,,,,,,,,,,,,,,634.0,3195.0,0.0,5.0,5.0,0.0,0.0
2017-11-20,,,,,,,,,,,,,,,,,,1815.0,6926.0,0.0,16.0,8.0,0.0,0.0
2017-11-21,,,,,,,,,,,,,,,,,,1586.0,6449.0,0.0,12.0,6.0,0.0,0.0
2017-11-22,,,,,,,,,,,,,,,,,,7332.0,17119.0,0.0,40.0,11.0,0.0,0.0
2017-11-23,,,,,,,,,,,,,,,,,,1469.0,5667.0,0.0,18.0,4.0,0.0,0.0
2017-11-24,,,,,,,,,,,,,,,,,,9614.0,23066.0,0.0,25.0,10.0,0.0,0.0
2017-11-25,,,,,,,,,,,,,,,,,,6935.0,29736.0,0.0,17.0,6.0,0.0,0.0
2017-11-26,,,,,,,,,,,,,,,,,,1203.0,3141.0,0.0,12.0,2.0,0.0,0.0
2017-11-27,,,,,,,,,,,,,,,,,,3338.0,5985.0,0.0,14.0,9.0,0.0,0.0
2017-11-28,,,,,,,,,,,,,,,,,,1691.0,5721.0,0.0,15.0,7.0,0.0,0.0
2017-11-29,,,,,,,,,,,,,,,,,,2655.0,8122.0,0.0,26.0,8.0,0.0,0.0
2017-11-30,,,,,,,,,,,,,,,,,,3952.0,14044.0,0.0,19.0,7.0,0.0,0.0
2017-12-01,,,,,,,,,,,,,,,,,,11251.0,43152.0,0.0,17.0,5.0,0.0,0.0
2017-12-02,,,,,,,,,,,,,,,,,,8551.0,27478.0,0.0,20.0,6.0,0.0,0.0
2017-12-03,,,,,,,,,,,,,,,,,,2864.0,10601.0,0.0,10.0,9.0,0.0,0.0
2017-12-04,,,,,,,,,,,,,,,,,,2325.0,6373.0,0.0,16.0,10.0,0.0,0.0
2017-12-05,,,,,,,,,,,,,,,,,,1168.0,5127.0,0.0,10.0,9.0,0.0,0.0
2017-12-06,,,,,,,,,,,,,,,,,,2271.0,6184.0,0.0,14.0,11.0,0.0,0.0
2017-12-07,,,,,,,,,,,,,,,,,,1656.0,6297.0,0.0,20.0,6.0,0.0,0.0
2017-12-08,,,,,,,,,,,,,,,,,,1724.0,6745.0,0.0,12.0,8.0,0.0,0.0
2017-12-09,,,,,,,,,,,,,,,,,,251.0,825.0,0.0,5.0,4.0,0.0,0.0
2017-12-10,,,,,,,,,,,,,,,,,,1172.0,6404.0,0.0,8.0,6.0,0.0,0.0
2017-12-11,,,,,,,,,,,,,,,,,,1123.0,3282.0,0.0,14.0,9.0,0.0,0.0
2017-12-12,,,,,,,,,,,,,,,,,,4845.0,17163.0,0.0,22.0,10.0,0.0,0.0
2017-12-13,,,,,,,,,,,,,,,,,,1646.0,7234.0,0.0,19.0,9.0,0.0,0.0
2017-12-14,,,,,,,,,,,,,,,,,,20034.0,45210.0,0.0,22.0,9.0,0.0,0.0
2017-12-15,,,,,,,,,,,,,,,,,,1678.0,5736.0,0.0,25.0,9.0,0.0,0.0
2017-12-16,,,,,,,,,,,,,,,,,,1464.0,6659.0,0.0,11.0,4.0,0.0,0.0
2017-12-17,,,,,,,,,,,,,,,,,,3605.0,14269.0,0.0,15.0,9.0,0.0,0.0
2017-12-18,,,,,,,,,,,,,,,,,,1625.0,6269.0,0.0,15.0,8.0,0.0,0.0
