,monthly_listeners,listener_pct_change,monthly_spins,spins_pct_change,followers_insta,av_post_likes_insta,av_post_comments_insta,av_post_views_insta,followers_tiktok,av_post_likes_tiktok,av_post_comments_tiktok,av_post_views_tiktok,followers_youtube,av_post_likes_youtube,av_post_comments_youtube,av_post_views_youtube,Artist_ID,retweet,likes,Sentiment_Neutral,TweetSentiment_Positive,TweetSentiment_Negative,New_Music,TV_Show
2017-12-06,,,,,,,,,,,,,,,,,,88.0,247.0,0.0,3.0,0.0,0.0,0.0
2017-12-07,,,,,,,,,,,,,,,,,,372.0,848.0,0.0,5.0,2.0,0.0,0.0
2017-12-08,,,,,,,,,,,,,,,,,,148.0,398.0,0.0,1.0,5.0,0.0,0.0
2017-12-09,,,,,,,,,,,,,,,,,,181.0,975.0,0.0,2.0,2.0,0.0,0.0
2017-12-10,,,,,,,,,,,,,,,,,,379.0,1495.0,0.0,3.0,6.0,0.0,0.0
2017-12-11,,,,,,,,,,,,,,,,,,990.0,2635.0,0.0,7.0,7.0,0.0,0.0
2017-12-12,,,,,,,,,,,,,,,,,,202.0,831.0,0.0,4.0,7.0,0.0,0.0
2017-12-13,,,,,,,,,,,,,,,,,,783.0,1762.0,0.0,5.0,8.0,0.0,0.0
2017-12-14,,,,,,,,,,,,,,,,,,477.0,1358.0,0.0,0.0,4.0,0.0,0.0
2017-12-15,,,,,,,,,,,,,,,,,,233.0,958.0,0.0,5.0,0.0,0.0,0.0
2017-12-16,,,,,,,,,,,,,,,,,,195.0,762.0,0.0,6.0,1.0,0.0,0.0
2017-12-17,,,,,,,,,,,,,,,,,,191.0,512.0,0.0,2.0,2.0,0.0,0.0
2017-12-18,,,,,,,,,,,,,,,,,,291.0,1106.0,0.0,7.0,4.0,0.0,0.0
2017-12-19,,,,,,,,,,,,,,,,,,21.0,90.0,0.0,1.0,0.0,0.0,0.0
2017-12-20,,,,,,,,,,,,,,,,,,433.0,1073.0,0.0,7.0,4.0,0.0,0.0
2017-12-21,,,,,,,,,,,,,,,,,,525.0,2735.0,0.0,5.0,4.0,0.0,0.0
2017-12-22,,,,,,,,,,,,,,,,,,290.0,777.0,0.0,1.0,4.0,0.0,0.0
2017-12-23,,,,,,,,,,,,,,,,,,78.0,258.0,0.0,3.0,0.0,0.0,0.0
2017-12-24,,,,,,,,,,,,,,,,,,277.0,1377.0,0.0,2.0,3.0,0.0,0.0
2017-12-25,,,,,,,,,,,,,,,,,,343.0,2165.0,0.0,4.0,1.0,0.0,0.0
2017-12-26,,,,,,,,,,,,,,,,,,192.0,885.0,0.0,2.0,3.0,0.0,0.0
2017-12-27,,,,,,,,,,,,,,,,,,175.0,879.0,0.0,2.0,1.0,0.0,0.0
2017-12-28,,,,,,,,,,,,,,,,,,54.0,144.0,0.0,1.0,1.0,0.0,0.0
2017-12-29,,,,,,,,,,,,,,,,,,196.0,379.0,0.0,3.0,5.0,0.0,0.0
2017-12-30,,,,,,,,,,,,,,,,,,83.0,242.0,0.0,3.0,1.0,0.0,0.0
2017-12-31,,,,,,,,,,,,,,,,,,65.0,227.0,0.0,1.0,1.0,0.0,0.0
2018-01-01,,,,,,,,,,,,,,,,,,128.0,352.0,0.0,2.0,2.0,0.0,0.0
2018-01-03,,,,,,,,,,,,,,,,,,67.0,341.0,0.0,0.0,2.0,0.0,0.0
2018-01-04,,,,,,,,,,,,,,,,,,517.0,1531.0,0.0,4.0,3.0,0.0,0.0
2018-01-05,,,,,,,,,,,,,,,,,,79.0,233.0,0.0,4.0,0.0,0.0,0.0
2018-01-06,,,,,,,,,,,,,,,,,,134.0,423.0,0.0,3.0,1.0,0.0,0.0
2018-01-07,,,,,,,,,,,,,,,,,,208.0,450.0,0.0,3.0,1.0,0.0,0.0
2018-01-08,,,,,,,,,,,,,,,,,,33.0,187.0,0.0,2.0,0.0,0.0,0.0
2018-01-09,,,,,,,,,,,,,,,,,,11.0,44.0,0.0,1.0,0.0,0.0,0.0
2018-01-10,,,,,,,,,,,,,,,,,,262.0,1158.0,0.0,3.0,1.0,0.0,0.0
2018-01-11,,,,,,,,,,,,,,,,,,44.0,81.0,0.0,2.0,1.0,0.0,0.0
2018-01-12,,,,,,,,,,,,,,,,,,112.0,394.0,0.0,1.0,4.0,0.0,0.0
2018-01-13,,,,,,,,,,,,,,,,,,14.0,35.0,0.0,1.0,0.0,0.0,0.0
2018-01-14,,,,,,,,,,,,,,,,,,40.0,118.0,0.0,1.0,1.0,0.0,0.0
2018-01-15,,,,,,,,,,,,,,,,,,57.0,238.0,0.0,2.0,1.0,0.0,0.0
2018-01-16,,,,,,,,,,,,,,,,,,96.0,153.0,0.0,2.0,1.0,0.0,0.0
2018-01-17,,,,,,,,,,,,,,,,,,141.0,483.0,0.0,6.0,0.0,0.0,0.0
2018-01-18,,,,,,,,,,,,,,,,,,275.0,1009.0,0.0,3.0,4.0,0.0,0.0
2018-01-19,,,,,,,,,,,,,,,,,,94.0,411.0,0.0,2.0,0.0,0.0,0.0
2018-01-20,,,,,,,,,,,,,,,,,,58.0,179.0,0.0,1.0,1.0,0.0,0.0
2018-01-21,,,,,,,,,,,,,,,,,,19.0,72.0,0.0,1.0,0.0,0.0,0.0
2018-01-22,,,,,,,,,,,,,,,,,,126.0,391.0,0.0,2.0,4.0,0.0,0.0
2018-01-23,,,,,,,,,,,,,,,,,,175.0,629.0,0.0,6.0,0.0,0.0,0.0
2018-01-24,,,,,,,,,,,,,,,,,,78.0,172.0,0.0,2.0,1.0,0.0,0.0
2018-01-25,,,,,,,,,,,,,,,,,,175.0,405.0,0.0,5.0,1.0,0.0,0.0
2018-01-26,,,,,,,,,,,,,,,,,,140.0,469.0,0.0,3.0,2.0,0.0,0.0
2018-01-27,,,,,,,,,,,,,,,,,,160.0,868.0,0.0,3.0,1.0,0.0,0.0
2018-01-28,,,,,,,,,,,,,,,,,,592.0,1986.0,0.0,3.0,2.0,0.0,0.0
2018-01-29,,,,,,,,,,,,,,,,,,215.0,515.0,0.0,3.0,2.0,0.0,0.0
2018-01-30,,,,,,,,,,,,,,,,,,133.0,228.0,0.0,4.0,3.0,0.0,0.0
2018-01-31,,,,,,,,,,,,,,,,,,80.0,271.0,0.0,2.0,0.0,0.0,0.0
2018-02-01,,,,,,,,,,,,,,,,,,54.0,1318.0,0.0,2.0,1.0,0.0,0.0
2018-02-02,,,,,,,,,,,,,,,,,,95.0,460.0,0.0,2.0,1.0,0.0,0.0
2018-02-03,,,,,,,,,,,,,,,,,,58.0,267.0,0.0,1.0,1.0,0.0,0.0
2018-02-04,,,,,,,,,,,,,,,,,,150.0,373.0,0.0,1.0,0.0,0.0,0.0
2018-02-05,,,,,,,,,,,,,,,,,,17.0,65.0,0.0,1.0,0.0,0.0,0.0
2018-02-06,,,,,,,,,,,,,,,,,,143.0,715.0,0.0,3.0,1.0,0.0,0.0
2018-02-07,,,,,,,,,,,,,,,,,,128.0,444.0,0.0,1.0,0.0,0.0,0.0
2018-02-08,,,,,,,,,,,,,,,,,,14.0,58.0,0.0,1.0,0.0,0.0,0.0
2018-02-09,,,,,,,,,,,,,,,,,,131.0,529.0,0.0,3.0,3.0,0.0,0.0
2018-02-10,,,,,,,,,,,,,,,,,,116.0,684.0,0.0,2.0,0.0,0.0,0.0
2018-02-11,,,,,,,,,,,,,,,,,,85.0,295.0,0.0,3.0,0.0,0.0,0.0
2018-02-12,,,,,,,,,,,,,,,,,,43.0,138.0,0.0,1.0,1.0,0.0,0.0
2018-02-13,,,,,,,,,,,,,,,,,,86.0,222.0,0.0,3.0,0.0,0.0,0.0
2018-02-14,,,,,,,,,,,,,,,,,,76.0,174.0,0.0,2.0,0.0,0.0,0.0
2018-02-15,,,,,,,,,,,,,,,,,,37.0,85.0,0.0,1.0,1.0,0.0,0.0
2018-02-16,,,,,,,,,,,,,,,,,,213.0,767.0,0.0,9.0,4.0,0.0,0.0
2018-02-17,,,,,,,,,,,,,,,,,,392.0,1457.0,0.0,9.0,6.0,0.0,0.0
2018-02-18,,,,,,,,,,,,,,,,,,923.0,4044.0,0.0,9.0,18.0,0.0,0.0
2018-02-19,,,,,,,,,,,,,,,,,,813.0,2669.0,0.0,6.0,17.0,0.0,0.0
2018-02-20,,,,,,,,,,,,,,,,,,276.0,838.0,0.0,7.0,6.0,0.0,0.0
2018-02-21,,,,,,,,,,,,,,,,,,3710.0,12471.0,0.0,4.0,1.0,0.0,0.0
2018-02-22,,,,,,,,,,,,,,,,,,28.0,92.0,0.0,2.0,0.0,0.0,0.0
2018-02-23,,,,,,,,,,,,,,,,,,151.0,644.0,0.0,5.0,1.0,0.0,0.0
2018-02-24,,,,,,,,,,,,,,,,,,170.0,583.0,0.0,6.0,2.0,0.0,0.0
2018-02-25,,,,,,,,,,,,,,,,,,925.0,5133.0,0.0,6.0,2.0,0.0,0.0
