,monthly_listeners,listener_pct_change,monthly_spins,spins_pct_change,followers_insta,av_post_likes_insta,av_post_comments_insta,av_post_views_insta,followers_tiktok,av_post_likes_tiktok,av_post_comments_tiktok,av_post_views_tiktok,followers_youtube,av_post_likes_youtube,av_post_comments_youtube,av_post_views_youtube,Artist_ID,retweet,likes,Sentiment_Neutral,TweetSentiment_Positive,TweetSentiment_Negative,New_Music,TV_Show
2019-12-11,0.4649536840669932,0.0,0.0,0.0,,,,,,,,,,,,,75774.0,190.0,945.0,0.0,17.0,1.0,0.0,0.0
2019-12-12,0.4825852936580386,0.017290160884938,,,,,,,,,,,,,,,75774.0,215.0,619.0,0.0,10.0,2.0,0.0,0.0
2019-12-13,0.5002012162268972,0.0169811704834605,,,,,,,,,,,,,,,75774.0,68.0,242.0,0.0,8.0,0.0,0.0,0.0
2019-12-14,0.5172530093440351,0.0161629032147374,,,,,,,,,,,,,,,75774.0,67.0,234.0,0.0,7.0,0.0,0.0,0.0
2019-12-15,,,,,,,,,,,,,,,,,,146.0,974.0,0.0,9.0,0.0,0.0,0.0
2019-12-16,0.5674581171591286,0.0468310489331023,0.0,0.0,,,,,,,,,,,,,75774.0,683.0,4744.0,0.0,11.0,3.0,0.0,1.0
2019-12-17,0.5960471117477093,0.0254746524949665,,,,,,,,,,,,,,,75774.0,3013.0,17337.0,0.0,39.0,10.0,0.0,0.0
2019-12-18,0.6148510245737204,0.0163392713437826,0.0,0.0,,,,,,,,,,,,,75774.0,275.0,1724.0,0.0,8.0,0.0,0.0,0.0
2019-12-19,0.6353859399633528,0.0175565293421267,0.125,1.0,,,,,,,,,,,,,75774.0,332.0,2562.0,0.0,12.0,1.0,0.0,0.0
2019-12-20,0.6566177211462869,0.0178391284731551,0.125,0.0,,,,,,,,,,,,,75774.0,1819.0,10903.0,0.0,48.0,3.0,0.0,0.0
2019-12-21,0.676665735501119,0.016549292267235,0.25,0.5,,,,,,,,,,,,,75774.0,354.0,2104.0,0.0,24.0,2.0,0.0,0.0
2019-12-22,0.7030669938416372,0.0214389862462813,0.0,-0.6666666666666667,,,,,,,,,,,,,75774.0,225.0,1182.0,0.0,18.0,1.0,0.0,0.0
2019-12-23,,,,,,,,,,,,,,,,,,42.0,157.0,0.0,5.0,1.0,0.0,0.0
2019-12-24,,,,,,,,,,,,,,,,,,180.0,2130.0,0.0,11.0,0.0,0.0,0.0
2019-12-25,,,,,,,,,,,,,,,,,,80.0,458.0,0.0,13.0,0.0,0.0,0.0
2019-12-26,,,,,,,,,,,,,,,,,,36.0,369.0,0.0,4.0,0.0,0.0,0.0
2019-12-27,1.0,0.2360617726541463,0.125,1.0,,,,,,,,,,,,,75774.0,11.0,71.0,0.0,2.0,1.0,0.0,0.0
2019-12-28,1.0,0.0,0.0,-0.5,,,,,,,,,,,,,75774.0,32.0,62.0,0.0,3.0,0.0,0.0,0.0
2019-12-29,0.990914197418761,-0.005843732258574,0.0,0.0,,,,,,,,,,,,,75774.0,7.0,17.0,0.0,0.0,1.0,0.0,0.0
2019-12-30,0.9761026317393107,-0.0095823786345237,0.0,0.0,,,,,,,,,,,,,75774.0,,,,,,0.0,0.0
2019-12-31,0.9518402385392728,-0.0158484807520944,,,,,,,,,,,,,,,75774.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0
2020-01-01,0.9372235539431444,-0.0097015451350511,0.0,0.0,,,,,,,,,,,,,75774.0,14.0,65.0,0.0,2.0,0.0,0.0,0.0
2020-01-02,0.9229362968129402,-0.0095757939457366,0.0,0.0,,,,,,,,,,,,,75774.0,5.0,54.0,0.0,0.0,2.0,0.0,0.0
2020-01-03,0.9026457369612186,-0.0137308908706519,,,,,,,,,,,,,,,75774.0,57.0,159.0,0.0,1.0,0.0,0.0,0.0
2020-01-04,0.8839353429213219,-0.0128378467886961,0.0,0.0,,,,,,,,,,,,,75774.0,10.0,49.0,0.0,2.0,1.0,0.0,0.0
2020-01-05,0.8636284927004063,-0.0141144293274164,,,,,,,,,,,,,,,75774.0,41.0,171.0,0.0,3.0,0.0,0.0,0.0
2020-01-06,0.837872815657579,-0.018157966824959,,,,,,,,,,,,,,,75774.0,,,,,,0.0,0.0
2020-01-07,0.8089851643004404,-0.0207426796913313,,,,,,,,,,,,,,,75774.0,52.0,370.0,0.0,3.0,3.0,0.0,0.0
2020-01-08,0.7909408653564787,-0.0132310957959296,0.25,2.0,,,,,,,,,,,,,75774.0,13.0,63.0,0.0,2.0,1.0,0.0,0.0
2020-01-09,0.7721423826535323,-0.0139689300365397,0.0,-0.6666666666666667,,,,,,,,,,,,,75774.0,6.0,27.0,0.0,1.0,1.0,0.0,0.0
2020-01-10,0.7529752549291944,-0.0144446419826734,,,,,,,,,,,,,,,75774.0,16.0,41.0,0.0,4.0,2.0,0.0,0.0
2020-01-11,0.7326979687116311,-0.0155052421540697,,,,,,,,,,,,,,,75774.0,63.0,113.0,0.0,5.0,1.0,0.0,0.0
2020-01-12,0.7081278685379273,-0.019083685073037,0.125,1.0,,,,,,,,,,,,,75774.0,,,,,,0.0,0.0
2020-01-13,0.6790875703879704,-0.0229945241578181,,,,,,,,,,,,,,,75774.0,18.0,232.0,0.0,3.0,0.0,0.0,0.0
2020-01-14,0.6481551760234727,-0.0250691666071737,,,,,,,,,,,,,,,75774.0,66.0,193.0,0.0,1.0,2.0,0.0,0.0
2020-01-15,0.627352977909656,-0.0172926591212532,0.0,-0.5,,,,,,,,,,,,,75774.0,30.0,319.0,0.0,2.0,1.0,0.0,0.0
2020-01-16,0.6033626942098598,-0.0202938168217888,,,,,,,,,,,,,,,75774.0,414.0,2108.0,0.0,9.0,3.0,0.0,0.0
2020-01-17,0.5766778627759634,-0.0230407688452629,0.25,2.0,,,,,,,,,,,,,75774.0,202.0,1256.0,0.0,9.0,1.0,0.0,0.0
2020-01-18,0.5480031929123621,-0.0253427937329295,0.0,-0.6666666666666667,,,,,,,,,,,,,75774.0,1607.0,8908.0,0.0,4.0,0.0,0.0,0.0
2020-01-19,0.5103537363168442,-0.0341399496662654,0.0,0.0,,,,,,,,,,,,,75774.0,12.0,22.0,0.0,1.0,1.0,0.0,0.0
2020-01-20,0.4709394897253023,-0.0370035329123897,0.0,0.0,,,,,,,,,,,,,75774.0,66.0,568.0,0.0,6.0,1.0,0.0,0.0
2020-01-21,0.41863051089614534,-0.0509966336739657,0.125,1.0,,,,,,,,,,,,,75774.0,34.0,212.0,0.0,6.0,0.0,0.0,0.0
2020-01-22,0.3599598412232017,-0.0602724103199814,,,,,,,,,,,,,,,75774.0,4.0,36.0,0.0,1.0,0.0,0.0,0.0
2020-01-23,0.1964473721522776,-0.1787501492283328,0.0,-0.5,,,,,,,,,,,,,75774.0,24.0,268.0,0.0,1.0,0.0,0.0,0.0
2020-01-24,0.10683767129775723,-0.1192820955985106,,,,,,,,,,,,,,,75774.0,63.0,206.0,0.0,1.0,2.0,0.0,0.0
2020-01-25,0.07668359457253171,-0.0455752902372144,0.0,0.0,,,,,,,,,,,,,75774.0,30.0,336.0,0.0,4.0,1.0,0.0,0.0
2020-01-26,0.06887447425850168,-0.012366415860504,0.0,0.0,,,,,,,,,,,,,75774.0,11.0,175.0,0.0,2.0,2.0,0.0,0.0
2020-01-27,0.06338280979907951,-0.0088054159789954,,,,,,,,,,,,,,,75774.0,11.0,76.0,0.0,3.0,1.0,0.0,0.0
2020-01-28,0.05937658567135329,-0.0064807042885864,0.125,1.0,,,,,,,,,,,,,75774.0,84.0,362.0,0.0,3.0,0.0,0.0,0.0
2020-01-29,0.05757921493694129,-0.0029264986148496,,,,,,,,,,,,,,,75774.0,11.0,42.0,0.0,2.0,0.0,0.0,0.0
2020-01-30,0.055233401772995516,-0.0038306890609589,0.125,0.0,,,,,,,,,,,,,75774.0,29.0,284.0,0.0,1.0,1.0,0.0,0.0
2020-01-31,0.059367535466245513,0.0067769587359172,0.0,-0.5,,,,,,,,,,,,,75774.0,156.0,738.0,0.0,2.0,1.0,0.0,0.0
2020-02-01,0.06054707886529742,0.0019205737161382,0.0,0.0,,,,,,,,,,,,,75774.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-02,0.06072446288541056,0.000288269208142,,,,,,,,,,,,,,,75774.0,133.0,636.0,0.0,4.0,0.0,0.0,0.0
2020-02-03,0.06122222416634038,0.0008086855771662,0.125,1.0,,,,,,,,,,,,,75774.0,25.0,128.0,0.0,4.0,1.0,0.0,0.0
2020-02-04,0.06217551243769692,0.0015475039642545,0.0,-0.5,,,,,,,,,,,,,75774.0,27.0,75.0,0.0,3.0,0.0,0.0,0.0
2020-02-05,0.06337315624696449,0.0019411703154474,0.25,2.0,,,,,,,,,,,,,75774.0,18.0,71.0,0.0,0.0,1.0,0.0,0.0
2020-02-06,0.06391978863547654,0.0008842785809377,0.25,0.0,,,,,,,,,,,,,75774.0,15.0,25.0,0.0,2.0,0.0,0.0,0.0
2020-02-07,0.06549573101825068,0.0025471247330492,0.125,-0.3333333333333333,,,,,,,,,,,,,75774.0,25.0,65.0,0.0,2.0,0.0,0.0,0.0
2020-02-08,0.06529300642383562,-0.0003268221795538,,,,,,,,,,,,,,,75774.0,,,,,,0.0,0.0
2020-02-09,0.06554399877882566,0.000404769271785,,,,,,,,,,,,,,,75774.0,23.0,161.0,0.0,6.0,1.0,0.0,0.0
2020-02-10,0.06547461387299913,-0.0001118500781005,0.0,-0.5,,,,,,,,,,,,,75774.0,83.0,169.0,0.0,26.0,3.0,0.0,0.0
2020-02-11,0.06570147234770174,0.000365742033195,,,,,,,,,,,,,,,75774.0,225.0,1536.0,0.0,2.0,1.0,0.0,0.0
2020-02-12,0.06599288895217337,0.0004696511065971,0.0,0.0,,,,,,,,,,,,,75774.0,91.0,533.0,0.0,5.0,3.0,0.0,0.0
2020-02-13,0.06574189659718321,-0.0004043129304328,0.125,1.0,,,,,,,,,,,,,75774.0,35.0,351.0,0.0,2.0,0.0,0.0,0.0
2020-02-14,0.06463777157402983,-0.0017793075285126,,,,,,,,,,,,,,,75774.0,8.0,70.0,0.0,2.0,0.0,0.0,0.0
2020-02-15,0.06505227096796773,0.0006691601893518,0.0,-0.5,,,,,,,,,,,,,75774.0,34.0,315.0,0.0,0.0,1.0,0.0,0.0
2020-02-16,0.06560192009151578,0.0008867500464788,0.0,0.0,,,,,,,,,,,,,75774.0,48.0,140.0,0.0,2.0,1.0,0.0,0.0
2020-02-17,0.06505046092694622,-0.0008888819732012,0.0,0.0,,,,,,,,,,,,,75774.0,38.0,1317.0,0.0,1.0,0.0,0.0,0.0
2020-02-18,0.06476447444553923,-0.0004613839181423,0.0,0.0,,,,,,,,,,,,,75774.0,7.0,35.0,0.0,2.0,0.0,0.0,0.0
2020-02-19,0.0640193408916625,-0.0012026838840359,,,,,,,,,,,,,,,75774.0,3.0,11.0,0.0,0.0,1.0,0.0,0.0
2020-02-20,0.06250312986259987,-0.0024501893948627,,,,,,,,,,,,,,,75774.0,14.0,157.0,0.0,3.0,0.0,0.0,0.0
2020-02-21,0.06263646955118829,0.0002160055203583,,,,,,,,,,,,,,,75774.0,5.0,27.0,0.0,1.0,0.0,0.0,0.0
