,monthly_listeners,listener_pct_change,monthly_spins,spins_pct_change,followers_insta,av_post_likes_insta,av_post_comments_insta,av_post_views_insta,followers_tiktok,av_post_likes_tiktok,av_post_comments_tiktok,av_post_views_tiktok,followers_youtube,av_post_likes_youtube,av_post_comments_youtube,av_post_views_youtube,Artist_ID,retweet,likes,Sentiment_Neutral,TweetSentiment_Positive,TweetSentiment_Negative,New_Music,TV_Show
2018-01-01,,,,,,,,,,,,,,,,,,168.0,758.0,0.0,3.0,0.0,0.0,0.0
2018-01-02,,,,,,,,,,,,,,,,,,96.0,312.0,0.0,1.0,1.0,0.0,0.0
2018-01-04,,,,,,,,,,,,,,,,,,49.0,183.0,0.0,2.0,1.0,0.0,0.0
2018-01-07,,,,,,,,,,,,,,,,,,38.0,133.0,0.0,0.0,1.0,0.0,0.0
2018-01-08,,,,,,,,,,,,,,,,,,66.0,342.0,0.0,1.0,1.0,0.0,0.0
2018-01-10,,,,,,,,,,,,,,,,,,13.0,46.0,0.0,1.0,0.0,0.0,0.0
2018-01-11,,,,,,,,,,,,,,,,,,285.0,1312.0,0.0,1.0,0.0,0.0,0.0
2018-01-12,,,,,,,,,,,,,,,,,,17.0,133.0,0.0,1.0,0.0,0.0,0.0
2018-01-13,,,,,,,,,,,,,,,,,,32.0,97.0,0.0,1.0,0.0,0.0,0.0
2018-01-14,,,,,,,,,,,,,,,,,,3191.0,9897.0,0.0,29.0,0.0,0.0,0.0
2018-01-15,,,,,,,,,,,,,,,,,,83.0,467.0,0.0,2.0,0.0,0.0,0.0
2018-01-16,,,,,,,,,,,,,,,,,,39.0,149.0,0.0,1.0,0.0,0.0,0.0
2018-01-17,,,,,,,,,,,,,,,,,,26.0,149.0,0.0,1.0,0.0,0.0,0.0
2018-01-19,,,,,,,,,,,,,,,,,,24.0,132.0,0.0,2.0,0.0,0.0,0.0
2018-01-20,,,,,,,,,,,,,,,,,,43.0,660.0,0.0,1.0,0.0,0.0,0.0
2018-01-21,,,,,,,,,,,,,,,,,,92.0,1252.0,0.0,1.0,0.0,0.0,0.0
2018-01-22,,,,,,,,,,,,,,,,,,96.0,436.0,0.0,3.0,0.0,0.0,0.0
2018-01-23,,,,,,,,,,,,,,,,,,28.0,107.0,0.0,2.0,0.0,0.0,0.0
2018-01-24,,,,,,,,,,,,,,,,,,101.0,355.0,0.0,4.0,0.0,0.0,0.0
2018-01-25,,,,,,,,,,,,,,,,,,190.0,589.0,0.0,3.0,1.0,0.0,0.0
2018-01-26,,,,,,,,,,,,,,,,,,62.0,333.0,0.0,3.0,1.0,0.0,0.0
2018-01-27,,,,,,,,,,,,,,,,,,52.0,341.0,0.0,2.0,1.0,0.0,0.0
2018-01-28,,,,,,,,,,,,,,,,,,42.0,253.0,0.0,1.0,1.0,0.0,0.0
2018-01-29,,,,,,,,,,,,,,,,,,232.0,1641.0,0.0,4.0,1.0,0.0,1.0
2018-02-02,,,,,,,,,,,,,,,,,,382.0,1118.0,0.0,1.0,0.0,0.0,0.0
2018-02-04,,,,,,,,,,,,,,,,,,15.0,51.0,0.0,1.0,0.0,0.0,0.0
2018-02-05,,,,,,,,,,,,,,,,,,59.0,190.0,0.0,1.0,0.0,0.0,0.0
2018-02-08,,,,,,,,,,,,,,,,,,70.0,453.0,0.0,1.0,0.0,0.0,0.0
2018-02-10,,,,,,,,,,,,,,,,,,141.0,331.0,0.0,1.0,0.0,0.0,0.0
2018-02-12,,,,,,,,,,,,,,,,,,13.0,81.0,0.0,1.0,0.0,0.0,0.0
2018-02-13,,,,,,,,,,,,,,,,,,28.0,126.0,0.0,1.0,0.0,0.0,0.0
2018-02-15,,,,,,,,,,,,,,,,,,396.0,2524.0,0.0,1.0,0.0,0.0,0.0
2018-02-16,,,,,,,,,,,,,,,,,,15.0,58.0,0.0,1.0,0.0,0.0,0.0
2018-02-17,,,,,,,,,,,,,,,,,,293.0,923.0,0.0,1.0,0.0,0.0,0.0
2018-02-18,,,,,,,,,,,,,,,,,,98.0,569.0,0.0,2.0,0.0,0.0,0.0
2018-02-19,,,,,,,,,,,,,,,,,,20.0,149.0,0.0,1.0,0.0,0.0,0.0
2018-02-21,,,,,,,,,,,,,,,,,,36.0,99.0,0.0,2.0,0.0,0.0,0.0
2018-02-22,,,,,,,,,,,,,,,,,,213.0,538.0,0.0,2.0,0.0,0.0,0.0
2018-02-24,,,,,,,,,,,,,,,,,,14.0,107.0,0.0,1.0,0.0,0.0,0.0
2018-02-25,,,,,,,,,,,,,,,,,,14.0,38.0,0.0,0.0,1.0,0.0,0.0
2018-02-28,,,,,,,,,,,,,,,,,,150.0,699.0,0.0,3.0,0.0,0.0,0.0
2018-03-01,,,,,,,,,,,,,,,,,,193.0,814.0,0.0,0.0,1.0,0.0,0.0
2018-03-02,,,,,,,,,,,,,,,,,,206.0,1700.0,0.0,1.0,0.0,0.0,0.0
2018-03-03,,,,,,,,,,,,,,,,,,79.0,227.0,0.0,1.0,0.0,0.0,0.0
2018-03-04,,,,,,,,,,,,,,,,,,18.0,90.0,0.0,1.0,0.0,0.0,0.0
2018-03-05,,,,,,,,,,,,,,,,,,18.0,173.0,0.0,1.0,0.0,0.0,0.0
2018-03-08,,,,,,,,,,,,,,,,,,15.0,65.0,0.0,1.0,0.0,0.0,0.0
2018-03-09,,,,,,,,,,,,,,,,,,175.0,615.0,0.0,2.0,1.0,0.0,0.0
2018-03-11,,,,,,,,,,,,,,,,,,173.0,651.0,0.0,1.0,1.0,0.0,0.0
2018-03-12,,,,,,,,,,,,,,,,,,24.0,82.0,0.0,0.0,1.0,0.0,0.0
2018-03-15,,,,,,,,,,,,,,,,,,39.0,203.0,0.0,1.0,0.0,0.0,0.0
2018-03-16,,,,,,,,,,,,,,,,,,25.0,86.0,0.0,1.0,0.0,0.0,0.0
2018-03-18,,,,,,,,,,,,,,,,,,22.0,94.0,0.0,1.0,0.0,0.0,0.0
2018-03-21,,,,,,,,,,,,,,,,,,25.0,125.0,0.0,1.0,1.0,0.0,0.0
2018-03-23,,,,,,,,,,,,,,,,,,36.0,458.0,0.0,1.0,0.0,0.0,0.0
2018-03-26,,,,,,,,,,,,,,,,,,26.0,187.0,0.0,1.0,0.0,0.0,0.0
2018-03-27,,,,,,,,,,,,,,,,,,18.0,45.0,0.0,1.0,0.0,0.0,0.0
2018-03-28,0.5179971315777792,0.0,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
2018-03-29,,,,,,,,,,,,,,,,,,66.0,289.0,0.0,3.0,0.0,0.0,0.0
2018-03-30,0.5179971315777792,0.0,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
2018-03-31,0.5179971315777792,0.0,,,,,,,,,,,,,,,59.0,42.0,697.0,0.0,2.0,0.0,0.0,0.0
2018-04-01,,,,,,,,,,,,,,,,,,359.0,1279.0,0.0,1.0,0.0,0.0,0.0
2018-04-03,0.5978664261529136,0.0060823354871137,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
2018-04-04,0.5978664261529136,0.0,,,,,,,,,,,,,,,59.0,32.0,208.0,0.0,1.0,0.0,0.0,0.0
2018-04-05,0.5978664261529136,0.0,,,,,,,,,,,,,,,59.0,103.0,193.0,0.0,0.0,1.0,0.0,0.0
2018-04-06,0.4249744946993328,-0.0130867475472701,,,,,,,,,,,,,,,59.0,162.0,837.0,0.0,4.0,1.0,0.0,0.0
2018-04-07,0.4249744946993328,0.0,,,,,,,,,,,,,,,59.0,49.0,303.0,0.0,1.0,1.0,0.0,0.0
2018-04-08,0.4249744946993328,0.0,,,,,,,,,,,,,,,59.0,42.0,135.0,0.0,1.0,0.0,0.0,0.0
2018-04-09,0.4249744946993328,0.0,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
2018-04-10,0.4249744946993328,0.0,,,,,,,,,,,,,,,59.0,318.0,1097.0,0.0,1.0,0.0,0.0,0.0
2018-04-11,0.48247896736799945,0.0044104168939425,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
2018-04-12,0.48247896736799945,0.0,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
2018-04-13,0.48247896736799945,0.0,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
2018-04-14,0.48247896736799945,0.0,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
2018-04-15,0.48247896736799945,0.0,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
2018-04-16,0.5626484112785182,0.006121751280836,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
2018-04-17,0.5626484112785182,0.0,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
2018-04-18,0.5626484112785182,0.0,,,,,,,,,,,,,,,59.0,164.0,602.0,0.0,1.0,0.0,0.0,0.0
2018-04-19,0.5626484112785182,0.0,,,,,,,,,,,,,,,59.0,137.0,490.0,0.0,3.0,0.0,0.0,0.0
2018-04-20,0.5626484112785182,0.0,,,,,,,,,,,,,,,59.0,176.0,547.0,0.0,4.0,0.0,0.0,0.0
2018-04-21,0.6792734316088289,0.0088513192255204,,,,,,,,,,,,,,,59.0,250.0,954.0,0.0,0.0,3.0,0.0,0.0
2018-04-22,0.6792734316088289,0.0,,,,,,,,,,,,,,,59.0,13.0,34.0,0.0,1.0,0.0,0.0,0.0
2018-04-23,0.6792734316088289,0.0,,,,,,,,,,,,,,,59.0,97.0,337.0,0.0,5.0,0.0,0.0,0.0
2018-04-24,0.6792734316088289,0.0,,,,,,,,,,,,,,,59.0,123.0,518.0,0.0,3.0,0.0,0.0,0.0
2018-04-25,0.6792734316088289,0.0,,,,,,,,,,,,,,,59.0,50.0,138.0,0.0,1.0,0.0,0.0,0.0
2018-04-26,0.6064731713808342,-0.0054767389038112,,,,,,,,,,,,,,,59.0,46.0,193.0,0.0,2.0,0.0,0.0,0.0
2018-04-27,0.6064731713808342,0.0,,,,,,,,,,,,,,,59.0,743.0,4086.0,0.0,1.0,4.0,0.0,0.0
2018-04-28,0.6064731713808342,0.0,,,,,,,,,,,,,,,59.0,340.0,1785.0,0.0,3.0,4.0,0.0,0.0
2018-04-29,0.6064731713808342,0.0,,,,,,,,,,,,,,,59.0,127.0,632.0,0.0,3.0,1.0,0.0,0.0
2018-04-30,0.6064731713808342,0.0,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
2018-05-01,0.6724483610072003,0.0049906234974359,,,,,,,,,,,,,,,59.0,11.0,44.0,0.0,1.0,0.0,0.0,0.0
2018-05-02,0.6724483610072003,0.0,,,,,,,,,,,,,,,59.0,40.0,157.0,0.0,1.0,0.0,0.0,0.0
2018-05-03,0.6724483610072003,0.0,,,,,,,,,,,,,,,59.0,28.0,225.0,0.0,1.0,1.0,0.0,0.0
2018-05-04,0.6643103218842867,-0.0006125364305596,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
2018-05-05,0.6643103218842867,0.0,,,,,,,,,,,,,,,59.0,118.0,1000.0,0.0,0.0,1.0,0.0,0.0
2018-05-06,0.6643103218842867,0.0,,,,,,,,,,,,,,,59.0,120.0,432.0,0.0,1.0,0.0,0.0,0.0
2018-05-07,0.6643103218842867,0.0,,,,,,,,,,,,,,,59.0,46.0,291.0,0.0,1.0,0.0,0.0,0.0
2018-05-08,0.6643103218842867,0.0,,,,,,,,,,,,,,,59.0,15.0,116.0,0.0,1.0,0.0,0.0,0.0
2018-05-09,0.626519598420888,-0.002846187184886,,,,,,,,,,,,,,,59.0,20.0,50.0,0.0,1.0,0.0,0.0,0.0
2018-05-10,0.626519598420888,0.0,,,,,,,,,,,,,,,59.0,16.0,50.0,0.0,1.0,0.0,0.0,0.0
2018-05-11,0.626519598420888,0.0,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
2018-05-12,0.626519598420888,0.0,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
2018-05-13,0.626519598420888,0.0,,,,,,,,,,,,,,,59.0,601.0,5633.0,0.0,10.0,0.0,0.0,0.0
2018-05-14,0.5590052193455861,-0.0050993212928659,,,,,,,,,,,,,,,59.0,320.0,1301.0,0.0,6.0,0.0,0.0,0.0
2018-05-15,0.5590052193455861,0.0,,,,,,,,,,,,,,,59.0,172.0,711.0,0.0,8.0,0.0,0.0,0.0
2018-05-16,0.5590052193455861,0.0,,,,,,,,,,,,,,,59.0,20.0,93.0,0.0,1.0,0.0,0.0,0.0
2018-05-17,0.5590052193455861,0.0,,,,,,,,,,,,,,,59.0,23.0,131.0,0.0,0.0,1.0,0.0,0.0
2018-05-18,0.5131503851670036,-0.0034811400736547,,,,,,,,,,,,,,,59.0,118.0,657.0,0.0,0.0,1.0,0.0,0.0
2018-05-19,0.5131503851670036,0.0,,,,,,,,,,,,,,,59.0,14.0,41.0,0.0,1.0,0.0,0.0,0.0
2018-05-20,0.5131503851670036,0.0,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
2018-05-21,0.5131503851670036,0.0,,,,,,,,,,,,,,,59.0,20.0,271.0,0.0,0.0,1.0,0.0,0.0
2018-05-22,0.5131503851670036,0.0,,,,,,,,,,,,,,,59.0,405.0,1830.0,0.0,0.0,6.0,0.0,0.0
2018-05-23,0.5196960063874148,0.0004986567693754,,,,,,,,,,,,,,,59.0,400.0,1982.0,0.0,2.0,4.0,0.0,0.0
2018-05-24,0.5196960063874148,0.0,,,,,,,,,,,,,,,59.0,174.0,809.0,0.0,0.0,2.0,0.0,0.0
2018-05-25,0.5196960063874148,0.0,,,,,,,,,,,,,,,59.0,,,,,,0.0,0.0
