,monthly_listeners,listener_pct_change,monthly_spins,spins_pct_change,followers_insta,av_post_likes_insta,av_post_comments_insta,av_post_views_insta,followers_tiktok,av_post_likes_tiktok,av_post_comments_tiktok,av_post_views_tiktok,followers_youtube,av_post_likes_youtube,av_post_comments_youtube,av_post_views_youtube,Artist_ID,Unnamed: 0.1,Sentiment_Neutral,TweetSentiment_Positive,TweetSentiment_Negative
2019-11-15,32267,0.0,,,,,,,,,,,,,,,1012968,,,,
2019-11-16,32329,0.0019214677534322,,,,,,,,,,,,,,,1012968,,,,
2019-11-17,32383,0.0016703269510347,,,,,,,,,,,,,,,1012968,,,,
2019-11-18,32447,0.0019763456134391,,,,,,,,,,,,,,,1012968,,,,
2019-11-19,32475,0.0008629457268776,,,,,,,,,,,,,,,1012968,,,,
2019-11-20,32623,0.004557351809084,,,,,,,,,,,,,,,1012968,,,,
2019-11-21,32749,0.0038623057352173,,,,,,,,,,,,,,,1012968,,,,
2019-11-22,32885,0.0041527985587346,,,,,,,,,,,,,,,1012968,,,,
2019-11-23,32992,0.0032537631138818,,,,,,,,,,,,,,,1012968,,,,
2019-11-24,33174,0.0055164888457808,,,,,,,,,,,,,,,1012968,,,,
2019-11-25,33297,0.0037077229155362,,,,,,,,,,,,,,,1012968,,,,
2019-11-26,33424,0.0038141574316004,,,,,,,,,,,,,,,1012968,,,,
2019-11-27,33625,0.0060136428913355,,,,,,,,,,,,,,,1012968,,,,
2019-11-28,33783,0.0046988847583642,,,,,,,,,,,,,,,1012968,,,,
2019-11-29,33913,0.0038480892756711,,,,,,,,,,,,,,,1012968,,,,
2019-11-30,33918,0.0001474360864566,,,,,,,,,,,,,,,1012968,,,,
2019-12-01,33923,0.0001474143522612,,,,,,,,,,,,,,,1012968,,,,
2019-12-03,34160,0.0069864104000236,,,,,,,,,,,,,,,1012968,,,,
2019-12-04,34505,0.0100995316159251,,,,,,,,,,,,,,,1012968,,,,
2019-12-05,34721,0.0062599623243009,,,,,,,,,,,,,,,1012968,,,,
2019-12-07,35165,0.0127876501252843,,,,,,,,,,,,,,,1012968,,,,
2019-12-08,35360,0.0055452865064695,,,,,,,,,,,,,,,1012968,,,,
2019-12-09,35537,0.0050056561085973,,,,,,,,,,,,,,,1012968,,,,
2019-12-11,35831,0.0082730675071052,,,,,,,,,,,,,,,1012968,,,,
2019-12-12,36006,0.0048840389606765,,,,,,,,,,,,,,,1012968,,,,
2019-12-13,36176,0.004721435316336,,,,,,,,,,,,,,,1012968,,,,
2019-12-14,36286,0.0030406899601946,,,,,,,,,,,,,,,1012968,,,,
2019-12-16,36599,0.0086259163313675,,,,,,,,,,,,,,,1012968,,,,
2019-12-17,36665,0.0018033279597802,,,,,,,,,,,,,,,1012968,,,,
2019-12-18,36714,0.0013364243829265,,,,,,,,,,,,,,,1012968,,,,
2019-12-19,36782,0.0018521544914746,,,,,,,,,,,,,,,1012968,,,,
2019-12-20,36767,-0.0004078081670382,,,,,,,,,,,,,,,1012968,,,,
2019-12-21,36737,-0.0008159490847771,,,,,,,,,,,,,,,1012968,,,,
2019-12-22,36543,-0.0052807795955032,,,,,,,,,,,,,,,1012968,,,,
2019-12-27,35440,-0.0301836192978135,,,,,,,,,,,,,,,1012968,,,,
2019-12-28,35440,0.0,,,,,,,,,,,,,,,1012968,,,,
2019-12-29,35438,-5.643340857786061e-05,,,,,,,,,,,,,,,1012968,,,,
2019-12-30,35444,0.0001693097804615,,,,,,,,,,,,,,,1012968,,,,
2019-12-31,35325,-0.0033574088703306,,,,,,,,,,,,,,,1012968,,,,
2020-01-01,35080,-0.0069355980184006,,,,,,,,,,,,,,,1012968,,,,
2020-01-02,34861,-0.0062428734321551,,,,,,,,,,,,,,,1012968,,,,
2020-01-03,34446,-0.0119044204124952,,,,,,,,,,,,,,,1012968,,,,
2020-01-04,34308,-0.0040062706845497,,,,,,,,,,,,,,,1012968,,,,
2020-01-05,34297,-0.0003206249271306,,,,,,,,,,,,,,,1012968,,,,
2020-01-06,34306,0.0002624136221827,,,,,,,,,,,,,,,1012968,,,,
2020-01-07,34270,-0.0010493791173555,,,,,,,,,,,,,,,1012968,,,,
2020-01-08,34407,0.0039976655967317,,,,,,,,,,,,,,,1012968,,,,
2020-01-09,34407,0.0,,,,,,,,,,,,,,,1012968,,,,
2020-01-10,34331,-0.0022088528497108,,,,,,,,,,,,,,,1012968,,,,
2020-01-11,34281,-0.0014564096589088,,,,,,,,,,,,,,,1012968,,,,
2020-01-12,34193,-0.002567019631866,,,,,,,,,,,,,,,1012968,,,,
2020-01-13,34188,-0.0001462287602725,,,,,,,,,,,,,,,1012968,,,,
2020-01-14,34340,0.0044460044460044,,,,,,,,,,,,,,,1012968,,,,
2020-01-15,34615,0.0080081537565521,,,,,,,,,,,,,,,1012968,,,,
2020-01-16,34618,8.666762964026908e-05,,,,,,,,,,,,,,,1012968,,,,
2020-01-17,34706,0.0025420301577214,1.0,0.0,,,,,,,,,,,,,1012968,,,,
2020-01-18,34790,0.0024203307785397,,,,,,,,,,,,,,,1012968,,,,
2020-01-19,34844,0.0015521701638401,,,,,,,,,,,,,,,1012968,,,,
2020-01-20,34852,0.0002295947652393,,,,,,,,,,,,,,,1012968,,,,
2020-01-21,34936,0.0024101916676231,,,,,,,,,,,,,,,1012968,,,,
2020-01-22,35065,0.0036924662239523,,,,,,,,,,,,,,,1012968,,,,
2020-01-23,35388,0.0092114644232139,,,,,,,,,,,,,,,1012968,,,,
2020-01-24,35888,0.0141290833050751,,,,,,,,,,,,,,,1012968,,,,
2020-01-25,36165,0.0077184574230939,,,,,,,,,,,,,,,1012968,,,,
2020-01-26,36282,0.0032351721277479,,,,,,,,,,,,,,,1012968,,,,
2020-01-27,36278,-0.0001102475056501,,,,,,,,,,,,,,,1012968,,,,
2020-01-28,36314,0.0009923369535256,,,,,,,,,,,,,,,1012968,,,,
2020-01-29,36511,0.0054249049953185,,,,,,,,,,,,,,,1012968,,,,
2020-01-30,36647,0.0037249048232039,,,,,,,,,,,,,,,1012968,,,,
2020-01-31,36882,0.0064125303571915,,,,,,,,,,,,,,,1012968,,,,
2020-02-01,37022,0.0037958895938399,,,,,,,,,,,,,,,1012968,,,,
2020-02-02,37066,0.0011884825239047,,,,,,,,,,,,,,,1012968,,,,
2020-02-04,37111,0.0012140506124211,,,,,,,,,,,,,,,1012968,,,,
2020-02-05,37208,0.0026137802807792,,,,,,,,,,,,,,,1012968,,,,
2020-02-06,37309,0.0027144700064503,,,,,,,,,,,,,,,1012968,,,,
2020-02-07,37397,0.0023586802112089,,,,,,,,,,,,,,,1012968,,,,
2020-02-08,37418,0.0005615423697087,,,,,,,,,,,,,,,1012968,,,,
2020-02-09,37483,0.0017371318616707,,,,,,,,,,,,,,,1012968,,,,
2020-02-10,37570,0.0023210522103354,,,,,,,,,,,,,,,1012968,,,,
2020-02-11,37549,-0.0005589566143199,,,,,,,,,,,,,,,1012968,,,,
2020-02-12,37729,0.0047937361847185,,,,,,,,,,,,,,,1012968,,,,
2020-02-13,37901,0.0045588274271779,,,,,,,,,,,,,,,1012968,,,,
2020-02-14,37986,0.0022426848895806,,,,,,,,,,,,,,,1012968,,,,
2020-02-15,38095,0.0028694782288212,,,,,,,,,,,,,,,1012968,,,,
2020-02-16,38236,0.003701273132957,,,,,,,,,,,,,,,1012968,,,,
2020-02-17,38358,0.0031907103253479,,,,,,,,,,,,,,,1012968,,,,
2020-02-18,38404,0.0011992283226445,,,,,,,,,,,,,,,1012968,,,,
2020-02-19,38696,0.007603374648474,,,,,,,,,,,,,,,1012968,,,,
2020-02-20,38905,0.0054010750465165,,,,,,,,,,,,,,,1012968,,,,
2020-02-21,39172,0.0068628710962601,,,,,,,,,,,,,,,1012968,,,,
2020-02-22,39432,0.0066373940569794,,,,,,,,,,,,,,,1012968,,,,
2020-02-23,39975,0.0137705416920268,1.0,0.0,,,,,,,,,,,,,1012968,,,,
2020-02-24,40849,0.0218636647904939,,,,,,,,,,,,,,,1012968,,,,
2020-02-25,41714,0.0211755489730469,,,,,,,,,,,,,,,1012968,,,,
2020-02-26,42697,0.0235652298988349,,,,,,,,,,,,,,,1012968,,,,
2020-02-27,43726,0.0241000538679532,,,,,,,,,,,,,,,1012968,,,,
2020-02-29,45573,0.0422403146869139,,,,,,,,,,,,,,,1012968,,,,
