,monthly_listeners,listener_pct_change,monthly_spins,spins_pct_change,followers_insta,av_post_likes_insta,av_post_comments_insta,av_post_views_insta,followers_tiktok,av_post_likes_tiktok,av_post_comments_tiktok,av_post_views_tiktok,followers_youtube,av_post_likes_youtube,av_post_comments_youtube,av_post_views_youtube,Artist_ID,retweet,likes,Sentiment_Neutral,TweetSentiment_Positive,TweetSentiment_Negative,New_Music,TV_Show
2021-03-13,0.5220662447321249,0.0,0.6638013371537727,0.0,,,,,,,,,,,,,3442.0,6159.0,44035.0,0.0,40.0,11.0,0.0,0.0
2021-03-14,0.5108336990910516,-0.0019049239595604,0.6666666666666666,0.0033594624860022,,,,,,,,,,,,,3442.0,48448.0,294403.0,0.0,23.0,28.0,0.0,0.0
2021-03-15,0.5096294436595121,-0.0002046190919545,0.6351480420248329,-0.036830357142857,,,,,,,,,,,,,3442.0,7179.0,48392.0,0.0,30.0,21.0,0.0,0.0
2021-03-16,0.5012993672762436,-0.0014156809792417,0.5845272206303725,-0.0614136732329084,,,,,,,,,,,,,3442.0,6661.0,43780.0,0.0,30.0,21.0,0.0,0.0
2021-03-17,0.49144750137771265,-0.0016766799192124,0.6561604584527221,0.0925925925925925,,,,,,,,,,,,,3442.0,7346.0,43191.0,0.0,37.0,14.0,0.0,0.0
2021-03-18,0.4856044290959751,-0.0009960971880635,0.6131805157593123,-0.0508474576271186,,,,,,,,,,,,,3442.0,5830.0,44407.0,0.0,40.0,11.0,0.0,0.0
2021-03-19,0.48258844882226004,-0.0005146616015146,0.7039159503342884,0.1130952380952381,,,,,,,,,,,,,3442.0,5798.0,36955.0,0.0,35.0,16.0,0.0,0.0
2021-03-20,0.47543028094050666,-0.0012221337073353,0.7182425978987583,0.0160427807486631,,,,,,,,,,,,,3442.0,16470.0,88312.0,0.0,35.0,16.0,0.0,0.0
2021-03-21,0.46821038680696336,-0.0012341807340983,0.7440305635148042,0.0284210526315789,,,,,,,,,,,,,3442.0,4090.0,34266.0,0.0,34.0,17.0,0.0,0.0
2021-03-22,0.4602229207972064,-0.0013670779709598,0.5893027698185291,-0.1658137154554759,,,,,,,,,,,,,3442.0,15786.0,82666.0,0.0,43.0,8.0,0.0,0.0
2021-03-23,0.45198558217203466,-0.0014117743993918,0.6504297994269341,0.0785276073619631,,,,,,,,,,,,,3442.0,8738.0,68716.0,0.0,45.0,6.0,0.0,0.0
2021-03-24,0.40550289534699857,-0.0079778003806726,0.603629417382999,-0.055745164960182,,,,,,,,,,,,,3442.0,8426.0,49072.0,0.0,45.0,6.0,0.0,0.0
