,monthly_listeners,listener_pct_change,monthly_spins,spins_pct_change,followers_insta,av_post_likes_insta,av_post_comments_insta,av_post_views_insta,followers_tiktok,av_post_likes_tiktok,av_post_comments_tiktok,av_post_views_tiktok,followers_youtube,av_post_likes_youtube,av_post_comments_youtube,av_post_views_youtube,Artist_ID,retweet,likes,Sentiment_Neutral,TweetSentiment_Positive,TweetSentiment_Negative,New_Music,TV_Show
2019-12-01,,,,,,,,,,,,,,,,,,85.0,322.0,0.0,1.0,1.0,0.0,0.0
2019-12-02,0.0,0.0,,,,,,,,,,,,,,,206809.0,181.0,4025.0,0.0,5.0,0.0,0.0,0.0
2019-12-03,0.010419834283176055,0.0039476006015695,,,,,,,,,,,,,,,206809.0,293.0,1493.0,0.0,4.0,0.0,0.0,0.0
2019-12-04,0.023478969978384168,0.0049280576867514,,,,,,,,,,,,,,,206809.0,39.0,228.0,0.0,2.0,0.0,0.0,0.0
2019-12-05,,,,,,,,,,,,,,,,,,167.0,961.0,0.0,5.0,0.0,0.0,0.0
2019-12-06,0.05646375007555937,0.0123862536528509,,,,,,,,,,,,,,,206809.0,79.0,396.0,0.0,3.0,0.0,0.0,0.0
2019-12-07,,,,,,,,,,,,,,,,,,135.0,547.0,0.0,2.0,1.0,0.0,0.0
2019-12-08,0.096387431735236,0.0148084881041463,0.0,0.0,,,,,,,,,,,,,206809.0,600.0,2031.0,0.0,5.0,0.0,0.0,0.0
2019-12-09,0.11095806435302658,0.0053256724708796,,,,,,,,,,,,,,,206809.0,97.0,551.0,0.0,3.0,0.0,0.0,0.0
2019-12-10,,,,,,,,,,,,,,,,,,42.0,191.0,0.0,2.0,0.0,0.0,0.0
2019-12-11,0.13764291539108164,0.0097018388244427,0.08132045088566828,0.3246753246753247,,,,,,,,,,,,,206809.0,75.0,276.0,0.0,5.0,0.0,0.0,0.0
2019-12-12,0.15231518634260865,0.0052831563567479,0.08776167471819646,0.0784313725490195,,,,,,,,,,,,,206809.0,182.0,562.0,0.0,2.0,1.0,0.0,0.0
2019-12-13,0.1665841992243151,0.0051109502029718,0.06843800322061191,-0.2181818181818181,,,,,,,,,,,,,206809.0,340.0,1124.0,0.0,3.0,0.0,0.0,0.0
2019-12-14,,,,,,,,,,,,,,,,,,42.0,122.0,0.0,3.0,0.0,0.0,0.0
2019-12-15,0.1903301886549582,0.0084622136353804,0.09017713365539452,-0.1629629629629629,,,,,,,,,,,,,206809.0,4983.0,24065.0,0.0,3.0,0.0,0.0,0.0
2019-12-17,0.21107851659109356,0.0073319110671592,0.09259259259259259,0.1485148514851484,,,,,,,,,,,,,206809.0,22.0,141.0,0.0,1.0,0.0,0.0,0.0
2019-12-18,0.22184744302357862,0.0037777559906888,0.09339774557165861,0.0086206896551723,,,,,,,,,,,,,206809.0,194.0,873.0,0.0,2.0,0.0,0.0,0.0
2019-12-19,0.23501377781242372,0.0046013876175934,0.09903381642512077,0.0598290598290598,,,,,,,,,,,,,206809.0,269.0,1658.0,0.0,3.0,0.0,0.0,0.0
2019-12-20,0.2499577021827939,0.0051987006741125,0.09339774557165861,-0.0564516129032257,,,,,,,,,,,,,206809.0,194.0,641.0,0.0,2.0,0.0,0.0,0.0
2019-12-21,0.26357219302880486,0.0047117217733085,0.10144927536231883,0.0854700854700853,,,,,,,,,,,,,206809.0,,,,,,0.0,0.0
2019-12-22,0.27241266852320534,0.0030451759328766,0.09903381642512077,-0.0236220472440944,,,,,,,,,,,,,206809.0,324.0,1328.0,0.0,7.0,0.0,0.0,0.0
2019-12-23,,,,,,,,,,,,,,,,,,79.0,419.0,0.0,4.0,0.0,0.0,0.0
2019-12-24,,,,,,,,,,,,,,,,,,115.0,649.0,0.0,3.0,0.0,0.0,0.0
2019-12-25,,,,,,,,,,,,,,,,,,86.0,461.0,0.0,2.0,0.0,0.0,0.0
2019-12-26,,,,,,,,,,,,,,,,,,774.0,4492.0,0.0,4.0,0.0,0.0,0.0
2019-12-27,0.3460832633175306,0.02529941311959,0.0893719806763285,-0.081967213114754,,,,,,,,,,,,,206809.0,228.0,1032.0,0.0,4.0,0.0,0.0,0.0
2019-12-28,0.3460832633175306,0.0,0.10305958132045089,0.1517857142857142,,,,,,,,,,,,,206809.0,,,,,,0.0,0.0
2019-12-29,0.3582291986646351,0.0040681459632063,0.09742351046698873,-0.0542635658914728,,,,,,,,,,,,,206809.0,9.0,66.0,0.0,1.0,0.0,0.0,0.0
2019-12-30,0.3726482490866192,0.0048099330672437,0.1360708534621578,0.3934426229508196,,,,,,,,,,,,,206809.0,109.0,718.0,0.0,1.0,0.0,0.0,0.0
2019-12-31,0.3898689957051369,0.0057170294516124,0.22302737520128824,0.6352941176470588,,,,,,,,,,,,,206809.0,141.0,774.0,0.0,3.0,0.0,0.0,0.0
2020-01-01,0.411137666600109,0.0070207417780909,0.22705314009661837,0.0179856115107914,,,,,,,,,,,,,206809.0,158.0,662.0,0.0,5.0,0.0,0.0,0.0
2020-01-02,0.45505788699567873,0.014396891901065,0.2391304347826087,0.0530035335689045,,,,,,,,,,,,,206809.0,,,,,,0.0,0.0
2020-01-03,0.4808017338861279,0.0083189739998619,0.2431561996779388,0.0167785234899329,,,,,,,,,,,,,206809.0,43.0,220.0,0.0,2.0,0.0,0.0,0.0
2020-01-04,0.4882873405284758,0.0023989731396985,0.2632850241545894,0.0825082508250825,,,,,,,,,,,,,206809.0,306.0,1380.0,0.0,3.0,0.0,0.0,0.0
2020-01-05,0.4978322819206409,0.0030516241033857,0.2753623188405797,0.0457317073170731,,,,,,,,,,,,,206809.0,284.0,1489.0,0.0,4.0,0.0,0.0,0.0
2020-01-06,0.5107781428771352,0.0041263439272016,0.24074074074074073,-0.1253644314868804,,,,,,,,,,,,,206809.0,148.0,1140.0,0.0,4.0,0.0,0.0,0.0
2020-01-07,0.5218667100268637,0.0035198289143485,0.23752012882447665,-0.0133333333333333,,,,,,,,,,,,,206809.0,78.0,339.0,0.0,3.0,0.0,0.0,0.0
2020-01-08,0.5377796482984127,0.005033505454514,0.24235104669887278,0.0202702702702701,,,,,,,,,,,,,206809.0,925.0,4249.0,0.0,5.0,0.0,0.0,0.0
2020-01-09,0.55513817819002,0.005463268773008,0.23832528180354268,-0.0165562913907284,,,,,,,,,,,,,206809.0,97.0,430.0,0.0,2.0,0.0,0.0,0.0
