,monthly_listeners,listener_pct_change,monthly_spins,spins_pct_change,followers_insta,av_post_likes_insta,av_post_comments_insta,av_post_views_insta,followers_tiktok,av_post_likes_tiktok,av_post_comments_tiktok,av_post_views_tiktok,followers_youtube,av_post_likes_youtube,av_post_comments_youtube,av_post_views_youtube,Artist_ID,Unnamed: 0.1,Sentiment_Neutral,TweetSentiment_Positive,TweetSentiment_Negative
2019-02-28,1783743.0,0.0,,,,,,,,,,,,,,,1941.0,,,,
2019-03-01,1783212.0,-0.0002976886244262,1.0,0.0,,,,,,,,,,,,,1941.0,0.0,0.0,0.0,1.0
2019-03-02,1780635.0,-0.0014451450528596,,,,,,,,,,,,,,,1941.0,,,,
2019-03-03,1776235.0,-0.002471028593732,,,,,,,,,,,,,,,1941.0,1.0,0.0,1.0,0.0
2019-03-04,1772184.0,-0.0022806666910628,,,,,,,,,,,,,,,1941.0,,,,
2019-03-05,1769175.0,-0.0016979049579501,2.0,1.0,,,,,,,,,,,,,1941.0,,,,
2019-03-06,1767123.0,-0.0011598626478442,,,,,,,,,,,,,,,1941.0,2.0,0.0,0.0,1.0
2019-03-07,1762699.0,-0.0025035042835162,1.0,-0.5,,,,,,,,,,,,,1941.0,,,,
2019-03-08,1757251.0,-0.0030907148639671,,,,,,,,,,,,,,,1941.0,,,,
2019-03-09,1751347.0,-0.0033597932224821,,,,,,,,,,,,,,,1941.0,,,,
2019-03-10,1747698.0,-0.0020835391273117,1.0,0.0,,,,,,,,,,,,,1941.0,3.0,0.0,1.0,0.0
2019-03-11,1748169.0,0.0002694973616723,,,,,,,,,,,,,,,1941.0,,,,
2019-03-12,1748206.0,2.1165001781842108e-05,1.0,0.0,,,,,,,,,,,,,1941.0,4.0,0.0,1.0,0.0
2019-03-13,1746301.0,-0.001089688514969,1.0,0.0,,,,,,,,,,,,,1941.0,,,,
2019-03-14,1745629.0,-0.0003848133855504,2.0,1.0,,,,,,,,,,,,,1941.0,,,,
2019-03-15,1744483.0,-0.000656496884504,,,,,,,,,,,,,,,1941.0,,,,
2019-03-16,1741689.0,-0.0016016206520785,,,,,,,,,,,,,,,1941.0,,,,
2019-03-17,1737355.0,-0.0024883891441008,,,,,,,,,,,,,,,1941.0,,,,
2019-03-18,1734308.0,-0.0017538154263233,,,,,,,,,,,,,,,1941.0,,,,
2019-03-19,1734972.0,0.0003828616370333,,,,,,,,,,,,,,,1941.0,,,,
2019-03-20,1734345.0,-0.0003613891175189,1.0,-0.5,,,,,,,,,,,,,1941.0,5.0,0.0,1.0,0.0
2019-03-21,1737470.0,0.0018018329686424,1.0,0.0,,,,,,,,,,,,,1941.0,,,,
2019-03-22,1739439.0,0.0011332569770989,,,,,,,,,,,,,,,1941.0,,,,
2019-03-23,1740590.0,0.0006617075965296,,,,,,,,,,,,,,,1941.0,,,,
2019-03-24,1740416.0,-9.996610344764624e-05,,,,,,,,,,,,,,,1941.0,13.0,0.0,2.0,0.0
2019-03-25,1741147.0,0.0004200145252628,1.0,0.0,,,,,,,,,,,,,1941.0,50.0,0.0,5.0,0.0
2019-03-26,1742948.0,0.0010343756156143,,,,,,,,,,,,,,,1941.0,27.0,0.0,2.0,0.0
2019-03-27,1744198.0,0.0007171757275603,1.0,0.0,,,,,,,,,,,,,1941.0,31.0,0.0,2.0,0.0
2019-03-28,1746793.0,0.0014877898036804,,,,,,,,,,,,,,,1941.0,,,,
2019-03-29,1749197.0,0.0013762363371045,1.0,0.0,,,,,,,,,,,,,1941.0,54.0,0.0,2.0,1.0
2019-03-30,1749271.0,4.230512629499472e-05,,,,,,,,,,,,,,,1941.0,20.0,0.0,1.0,0.0
2019-03-31,1750513.0,0.0007100100556174,,,,,,,,,,,,,,,1941.0,,,,
2019-04-01,1751161.0,0.0003701771994837,,,,,,,,,,,,,,,1941.0,21.0,0.0,1.0,0.0
2019-04-02,1751326.0,9.42232039200519e-05,1.0,0.0,,,,,,,,,,,,,1941.0,,,,
2019-04-03,1752852.0,0.0008713397734059,2.0,1.0,,,,,,,,,,,,,1941.0,,,,
2019-04-04,1758753.0,0.0033665135447831,,,,,,,,,,,,,,,1941.0,22.0,0.0,0.0,1.0
2019-04-05,1765415.0,0.0037879110938261,2.0,0.0,,,,,,,,,,,,,1941.0,,,,
2019-04-06,1769083.0,0.0020776984448416,,,,,,,,,,,,,,,1941.0,,,,
2019-04-07,1771377.0,0.0012967169997111,,,,,,,,,,,,,,,1941.0,,,,
2019-04-08,1772493.0,0.0006300183416629,1.0,-0.5,,,,,,,,,,,,,1941.0,,,,
2019-04-09,1773833.0,0.000755997343854,,,,,,,,,,,,,,,1941.0,,,,
2019-04-10,1777793.0,0.0022324536751767,1.0,0.0,,,,,,,,,,,,,1941.0,,,,
2019-04-11,1783694.0,0.00331928407863,,,,,,,,,,,,,,,1941.0,23.0,0.0,0.0,1.0
2019-04-13,1792410.0,0.0048864883774908,,,,,,,,,,,,,,,1941.0,,,,
2019-04-14,,,,,,,,,,,,,,,,,,24.0,0.0,1.0,0.0
2019-04-15,1800163.0,0.004325461250495,,,,,,,,,,,,,,,1941.0,,,,
2019-04-16,,,,,,,,,,,,,,,,,,25.0,0.0,1.0,0.0
2019-04-17,1807582.0,0.0041212934606478,2.0,1.0,,,,,,,,,,,,,1941.0,,,,
2019-04-19,1816460.0,0.0049115337506127,1.0,0.0,,,,,,,,,,,,,1941.0,53.0,0.0,1.0,1.0
2019-04-20,,,,,,,,,,,,,,,,,,28.0,0.0,1.0,0.0
2019-04-22,1834952.0,0.0101802406879314,1.0,0.0,,,,,,,,,,,,,1941.0,,,,
2019-04-23,,,,,,,,,,,,,,,,,,29.0,0.0,1.0,0.0
2019-04-24,,,,,,,,,,,,,,,,,,30.0,0.0,1.0,0.0
2019-04-25,1851124.0,0.0088133095579612,2.0,1.0,,,,,,,,,,,,,1941.0,,,,
2019-04-27,1868346.0,0.0093035366620497,1.0,-0.5,,,,,,,,,,,,,1941.0,,,,
2019-04-28,1876498.0,0.004363217519667,,,,,,,,,,,,,,,1941.0,,,,
2019-04-29,1883852.0,0.003919002311753,,,,,,,,,,,,,,,1941.0,31.0,0.0,1.0,0.0
2019-04-30,1891665.0,0.0041473534014349,,,,,,,,,,,,,,,1941.0,99.0,0.0,2.0,1.0
2019-05-01,1901373.0,0.0051319869004289,,,,,,,,,,,,,,,1941.0,,,,
2019-05-02,1911674.0,0.0054176639722978,,,,,,,,,,,,,,,1941.0,71.0,0.0,2.0,0.0
2019-05-03,1917230.0,0.0029063532799002,1.0,0.0,,,,,,,,,,,,,1941.0,114.0,0.0,3.0,0.0
2019-05-04,1922765.0,0.0028869775665933,1.0,0.0,,,,,,,,,,,,,1941.0,81.0,0.0,2.0,0.0
2019-05-05,1932521.0,0.0050739429935535,,,,,,,,,,,,,,,1941.0,42.0,0.0,1.0,0.0
2019-05-06,1938970.0,0.0033370918090929,,,,,,,,,,,,,,,1941.0,43.0,0.0,1.0,0.0
