,monthly_listeners,listener_pct_change,monthly_spins,spins_pct_change,followers_insta,av_post_likes_insta,av_post_comments_insta,av_post_views_insta,followers_tiktok,av_post_likes_tiktok,av_post_comments_tiktok,av_post_views_tiktok,followers_youtube,av_post_likes_youtube,av_post_comments_youtube,av_post_views_youtube,Artist_ID,retweet,likes,Sentiment_Neutral,TweetSentiment_Positive,TweetSentiment_Negative,New_Music,TV_Show
2019-09-25,0.46559739872545003,0.0,,,,,,,,,,,,,,,539.0,595.0,2505.0,0.0,19.0,32.0,0.0,0.0
2019-09-26,0.4639731549460242,-0.000888986343096,,,,,,,,,,,,,,,539.0,677.0,3370.0,0.0,23.0,28.0,0.0,0.0
2019-09-27,,,,,,,,,,,,,,,,,,1432.0,6053.0,0.0,17.0,34.0,0.0,0.0
2019-09-28,0.45703750978273017,-0.0037994173064245,,,,,,,,,,,,,,,539.0,1441.0,4128.0,0.0,24.0,27.0,0.0,0.0
2019-09-29,0.41128305941688725,-0.0251603502152021,,,,,,,,,,,,,,,539.0,3686.0,14820.0,0.0,14.0,37.0,0.0,0.0
2019-09-30,0.38185412241145844,-0.0166006361007775,,,,,,,,,,,,,,,539.0,585.0,2318.0,0.0,19.0,32.0,0.0,0.0
2019-10-01,0.36244782543882526,-0.0111317361589252,,,,,,,,,,,,,,,539.0,2186.0,15694.0,0.0,21.0,30.0,0.0,0.0
2019-10-02,0.34619684716580323,-0.0094267350691568,,,,,,,,,,,,,,,539.0,1032.0,7267.0,0.0,22.0,29.0,0.0,0.0
2019-10-03,0.32660576528900975,-0.0114723822617957,,,,,,,,,,,,,,,539.0,867.0,3632.0,0.0,23.0,28.0,0.0,0.0
2019-10-04,0.3099215518205196,-0.0098835308061776,,,,,,,,,,,,,,,539.0,1686.0,4003.0,0.0,18.0,33.0,0.0,0.0
2019-10-05,0.2932823699673288,-0.0099552476060674,,,,,,,,,,,,,,,539.0,634.0,3461.0,0.0,15.0,36.0,0.0,0.0
2019-10-06,0.281852880160002,-0.006907042311675,,,,,,,,,,,,,,,539.0,623.0,2550.0,0.0,18.0,33.0,0.0,0.0
2019-10-07,0.27405930508453524,-0.0047425519068007,,,,,,,,,,,,,,,539.0,421.0,2325.0,0.0,15.0,36.0,0.0,0.0
2019-10-08,0.2683138920980386,-0.003512862774288,,,,,,,,,,,,,,,539.0,681.0,2374.0,0.0,24.0,27.0,0.0,0.0
2019-10-09,0.2613316625051243,-0.004284127244248,,,,,,,,,,,,,,,539.0,1060.0,3743.0,0.0,19.0,32.0,0.0,0.0
2019-10-10,0.2586460701375173,-0.0016549043585846,,,,,,,,,,,,,,,539.0,573.0,1963.0,0.0,16.0,35.0,0.0,0.0
2019-10-11,0.25484943912346747,-0.0023434220287421,,,,,,,,,,,,,,,539.0,1521.0,6261.0,0.0,20.0,31.0,0.0,0.0
2019-10-12,,,,,,,,,,,,,,,,,,408.0,1997.0,0.0,19.0,32.0,0.0,0.0
2019-10-13,,,,,,,,,,,,,,,,,,746.0,4021.0,0.0,16.0,35.0,0.0,0.0
2019-10-14,0.24551857787053266,-0.0057728833001409,,,,,,,,,,,,,,,539.0,755.0,4212.0,0.0,14.0,37.0,0.0,0.0
2019-10-15,0.2438935576839465,-0.001011216629368,,,,,,,,,,,,,,,539.0,617.0,3328.0,0.0,23.0,28.0,0.0,0.0
2019-10-16,0.2427615560441745,-0.0007051343745269,,,,,,,,,,,,,,,539.0,3607.0,13104.0,0.0,16.0,35.0,0.0,0.0
2019-10-17,0.24193235319693418,-0.0005168826555378,,,,,,,,,,,,,,,539.0,940.0,4011.0,0.0,21.0,30.0,0.0,0.0
2019-10-18,0.24055345408017503,-0.0008599797110642,,,,,,,,,,,,,,,539.0,1889.0,4669.0,0.0,19.0,32.0,0.0,0.0
2019-10-19,0.23988729673660547,-0.0004158207686481,,,,,,,,,,,,,,,539.0,450.0,2460.0,0.0,26.0,25.0,0.0,0.0
2019-10-20,0.23755962806991393,-0.00145355391022,,,,,,,,,,,,,,,539.0,2593.0,12786.0,0.0,24.0,27.0,0.0,0.0
2019-10-21,0.23548662095181316,-0.0012964103998334,,,,,,,,,,,,,,,539.0,804.0,2348.0,0.0,19.0,32.0,0.0,0.0
2019-10-22,0.2341628467434378,-0.0008289322137643,,,,,,,,,,,,,,,539.0,350.0,1170.0,0.0,23.0,28.0,0.0,0.0
2019-10-23,0.23325910880880518,-0.0005663798111872,,,,,,,,,,,,,,,539.0,459.0,1830.0,0.0,25.0,26.0,0.0,0.0
2019-10-24,0.2312412265990882,-0.0012653396261138,,,,,,,,,,,,,,,539.0,2072.0,10764.0,0.0,23.0,28.0,0.0,0.0
2019-10-25,0.2291565733735823,-0.0013088654305972,,,,,,,,,,,,,,,539.0,620.0,3354.0,0.0,19.0,32.0,1.0,0.0
2019-10-26,0.21939402973949984,-0.0061375206837472,,,,,,,,,,,,,,,539.0,629.0,1880.0,0.0,16.0,35.0,0.0,0.0
2019-10-27,0.2291239642728482,0.0061547951610305,,,,,,,,,,,,,,,539.0,1637.0,8496.0,0.0,21.0,30.0,0.0,0.0
2019-10-28,0.23554718071031933,0.0040382336230175,,,,,,,,,,,,,,,539.0,919.0,4282.0,0.0,21.0,30.0,0.0,0.0
2019-10-29,0.23946027279841986,0.002450240429842,,,,,,,,,,,,,,,539.0,523.0,1879.0,0.0,23.0,28.0,0.0,0.0
2019-10-30,0.2454510304475832,0.0037420325405519,,,,,,,,,,,,,,,539.0,1132.0,6461.0,0.0,15.0,36.0,0.0,0.0
2019-10-31,0.2484184586143927,0.0018466471179114,,,,,,,,,,,,,,,539.0,1054.0,3631.0,0.0,21.0,30.0,0.0,0.0
2019-11-01,0.25673999055888896,0.005168990493938,,,,,,,,,,,,,,,539.0,925.0,3253.0,0.0,29.0,22.0,0.0,0.0
2019-11-02,0.25673999055888896,0.0,,,,,,,,,,,,,,,539.0,1558.0,6758.0,0.0,17.0,34.0,0.0,0.0
2019-11-03,0.2633060659138624,0.0040575999754346,,,,,,,,,,,,,,,539.0,266.0,1037.0,0.0,19.0,32.0,0.0,0.0
2019-11-04,0.26554832979291665,0.0013800393177407,,,,,,,,,,,,,,,539.0,573.0,2729.0,0.0,18.0,33.0,0.0,0.0
2019-11-05,0.2667634069988447,0.0007468092396289,,,,,,,,,,,,,,,539.0,629.0,2028.0,0.0,18.0,33.0,0.0,0.0
2019-11-06,0.26827351892570106,0.0009274504839194,,,,,,,,,,,,,,,539.0,672.0,2780.0,0.0,19.0,32.0,0.0,0.0
2019-11-07,0.269044491235916,0.0004730616857193,,,,,,,,,,,,,,,539.0,719.0,3423.0,0.0,21.0,30.0,0.0,0.0
2019-11-08,0.26948160846718605,0.0002680843870606,,,,,,,,,,,,,,,539.0,1210.0,5421.0,0.0,21.0,30.0,0.0,0.0
2019-11-09,0.2681128026435111,-0.0008392648363743,,,,,,,,,,,,,,,539.0,558.0,4034.0,0.0,24.0,27.0,0.0,0.0
2019-11-10,0.26751496913005135,-0.0003668614526284,,,,,,,,,,,,,,,539.0,558.0,3679.0,0.0,26.0,25.0,0.0,0.0
2019-11-11,0.26688996136597964,-0.0003836777297717,,,,,,,,,,,,,,,539.0,449.0,1664.0,0.0,15.0,36.0,0.0,0.0
2019-11-12,0.2662470962372203,-0.0003947914232993,,,,,,,,,,,,,,,539.0,1704.0,23481.0,0.0,23.0,28.0,0.0,0.0
2019-11-13,0.26524475459322483,-0.0006157935055011,,,,,,,,,,,,,,,539.0,424.0,1585.0,0.0,23.0,28.0,0.0,0.0
2019-11-14,0.2619302724257444,-0.002037523070689,,,,,,,,,,,,,,,539.0,660.0,2052.0,0.0,20.0,31.0,0.0,0.0
2019-11-15,0.261388340227829,-0.000333824025956,,,,,,,,,,,,,,,539.0,2196.0,10179.0,0.0,20.0,31.0,0.0,0.0
2019-11-16,0.25840771313929367,-0.0018366452590726,,,,,,,,,,,,,,,539.0,510.0,6006.0,0.0,22.0,29.0,0.0,0.0
2019-11-17,0.254137473757438,-0.0026361385842018,,,,,,,,,,,,,,,539.0,716.0,2253.0,0.0,23.0,28.0,0.0,0.0
